hindi_terms,english_translations
प्रशांत केंद्र,quiescent centre
आर मान,R value
रबी फसल,rabi (winter) crop
असीमाक्ष,raceme
विकिरण,radiation
मूलांकुर,radicle
रेडियोधर्मिता,radioactivity
विकिरण जीविकी,radiobiology
विकिरण जीव विज्ञान,radiobiology
विकिरण प्रतिरक्षी आमापन,radioimmuno assay
रेडियोधर्मी समस्थानिक,radioisotope
वर्षा जल संग्रहण,rain water harvesting
इंद्रधनुषी क्रांति,rainbow revolution
वर्षा,rainfall
बारानी,rainfed
वर्षा आश्रित,rainfed
वर्षामापी,rain-gauge
वर्षा ऋतु,rainy season
बरसात,rainy season
उठीव क्यारी,raised bed
"रैंचन, पशु-संबंधी उद्यम",ranching
"विकृताग्निता, खदवास",rancidity
यादृच्छक प्रवर्धित बहुरूपी,random amplified polymorphic
यादृच्छक नमूना,random sample
यादृच्छकीकरण,randomization
यादृच्छक ब्लॉक डिजाइन,randomized block design
दूरी विभेदन (सांख्यिकी),range (Statistics)
चरागाह प्रबंधन,range management
त्वरित ग्रामीण आकलन,rapid rural appraisal (RRA)
राशन,ration
"रatoon, पेड़ी",ratoon
पेड़ी सरयन,ratoon cropping
"फसल कटाई यंत्र, फसल कर्तक",reaper
दुस्साध्य बीज,recalcitrant seed
प्रतिसार कृषि,recession farming
प्रतिसार प्रावस्था,recession phase
अप्रभावी,recessive
"पुनर्भरण, पुनःपूरण",recharge
पारस्परिक जीन,reciprocal genes
उद्धारित भूमि,reclaimed land
पुनर्योजक,recombinant
पुनर्योजक डी.एन.ए. प्रौद्योगिकी,recombinant DNA technology
पुनर्योजन,recombination
पुनरेक,recon
रेकॉन,recon
आविधि सर्वेक्षण,reconnaissance survey
पुनरावर्ती जनक,recurrent parent
पुन:उपयोगी अवशिष्ट,recyclable waste
लाल शैवाल,red algae
लुप्तप्राय जीवों की सूची,red data book
लाल मृदा,red soils
रेडॉक्स विभव,redox potential
अपचयोपचय विभव,redox potential
लघूकृत नमूना,reduced sample
लघूकृत जुताई,reduced tillage
अपचयी शर्करा,reducing sugar
अपचयन,reduction
लघूकरण,reduction
संदर्भ फसल,reference crop
परावर्तन गुणांक,reflection coefficient
परावर्तन,reflection
प्रतिवर्ती पुंकेसर,reflexed stamen
अपवर्तन सूचकांक,refractive index
अपवर्तनमापी,refractometer
पुनर्जनन,regeneration
पुनरुत्पादन,regeneration
पंजीकृत बीज,registered seed
आवरण प्रस्तर,regolith
सामश्रयण,regression
सामश्रयण गुणांक,regression coefficient
नियामक जीन,regulator gene
सापेक्ष फसल सघनता सूचकांक,relative crop-intensity index
सापेक्ष सघनता गुणांक,relative crowding coefficient (K)
सापेक्ष वृद्धि दर,relative growth rate (RGR)
सापेक्ष आर्द्रता,specific humidity
सापेक्ष परिशर सूचकांक,relative spread index
आपेक्षिक जलांश,relative water content
संबंधित खरपतवार,relative weed
सापेक्ष उत्पादन सूचकांक,relative yield index
कुल सापेक्ष उत्पादन,relative yield total
क्रमिक सरयन,relay cropping
अनुपद सरयन,relay cropping
उच्चावच (भूमितल),relief
सुदूर संवेदन,remote sensing
नवीकरणीय ऊर्जा स्रोत,renewable sources of energy
जीर्णोद्धार,renovation
विकर्षक,repellent
प्रतिकृति यन दविखाख,replication fork
"प्रतिकृति, पुनरावृत्ति",replication
प्रतिवेदक जीन,reporter gene
उर्वरक का अवशिष्ट प्रभाव,residual effect of fertilizer
खाद का अवशिष्ट प्रभाव,residual effect of manure
अवशिष्ट सोडियम कार्बोनेट,residual sodium carbonate
अवशिष्ट मृदा उर्वरता,residual soil fertility
अवशिष्ट,residue
सहनशीलता (फसल),resilience (crop)
संसाधन उपयोग सूचकांक,resource-use indices (RUI)
स्वसन गुणांक,respiration quotient
स्वसनी वर्णक,respiratory pigments
स्वसन घातांक,respiratory quotient
अनुक्रिया वक्र,response curve
अनुक्रिया,response
प्रतवस्थापक केंद्रक,restitution nucleus
प्रतवस्थापक वंशक्रम,restorer line
प्रतिबंधन एन्जाइम,restriction enzyme
प्रतिबंधन खंड,restriction fragment
परिणाम प्रदर्शन,result demonstration
"फुटकर, खुदरा",retailing
मंदक,retarder
"पश्च विषाणु, श्वेत विषाणु",retrovirus
अपगलन,retting
सड़ाना,retting
राजस्व,revenue
उल्क्रम आनुवंशिकी,reverse genetics
उल्क्रमित उत्परिवर्तन,reverse mutation
राइजोबैक्टीरिया,rhizobacteria (PGPR)
मूल परिवेश निषेचन,rhizodeposition
मूलमास,rhizoid
प्रकंद,rootstock
मूल परिवेश,rhizosphere
राइबोसोम,ribosome
रिकेट्सिया जैसे जीव,rickettsia like organisms
मेंड़बांधक,ridge former (ridger)
कटकर बांधक,ridge former (ridger)
कटकर रोपण,ridge planting
कटकर वेदिका,ridge terrace
मेंड़ पर जुताई,ridge till
रिल अपरदन,rill erosion
जोखिम,risk
आर एन ए सोपान,RNA Ladder
चट्टान,rock
अवांछित,rogue
अपवांछन,roguing
मूल फसल,root crop
जड़ वाली फसल,root crop
मूल निस्स्राव,root exudates
मूल गॉल निमेटोड,root gall nematode
मूल प्रेरक प्लास्मिड,root inducing plasmid
मूल ग्रंथिका,root nodules
मूलवंत,rootstock
रोजेट रोग,rosette disease
रोजेट बहुभ्रूणता,rosette polyembryony
रोजेट विषाणु,rosette virus
घूर्णी जुताई,rotary tillage
क्रमिक चराई,rotational grazing
मोटा चारा,roughage
रूक्षांश,roughage
पंक्ति फसल,row crops
पंक्तिबद्ध फसल,row crops
पंक्ति अंतःफसल,row intercropping
तत्काल सेवा पेय,RTS beverage
उपरी भूस्तारी,runner
अपवाह खेती,run-off farming
अपवाह जल,run-off
क्षेत्रीय ग्रामीण बैंक,rural regional bank
लवणी क्षारीय मृदा,saline alkali soil
लवण मृदा,saline soil
लवणीकरण,salinization
लार ग्रंथि गुणसूत्र,salivary gland chromosome
लवण,salt
लवण प्रभावित मृदा,salt-affected soil
लवण सूचकांक,salt index
लवण प्रतिवल,salt stress
लवण सह्यता उच्छलन,salt tolerance
प्रतिदर्श,sample
प्रतिचयन त्रुटि,sampling error
"प्रतिचयन मापक, नमूना मापक",sampling unit
प्रतिचयन,sampling
बालू,sand
बलुई मृत्तिका,sandy clay
बलुई दोमट,sandy loam
"बलुई मिट्टी, बलुई मृदा",sandy soil
रस,sap
पौध,seedling
सापनीकरण मान,saponification value
अनुपगमी डी.एन.ए.,satellite DNA
अनुपगमी खरपतवार,satellite weed
संतृप्त वाष दबाव,saturated vapour pressure
सवाना (घास के मैदान),savanna
आलंबी प्रोटीन,scaffold protein
"स्केप, प्रपुंज",scape
क्षतविक्षन,scarification
"सायन, सांकुर",scion
छायाप्रिय पौधे,sciophytes
ऋतुनिष्ठ चक्र,seasonal cycle
"मौसमी सूखा, मौसमी अनावृष्टि",seasonal drought
मौसमी पादप,seasonal plant
द्वितीयक वृद्धि,secondary growth
द्वितीयक पादप पोषक (तत्व),secondary plant nutrients
द्वितीयक उत्पादकता,secondary productivity
द्वितीयक भूपरिष्करण,secondary tillage
झाड़ी,sedge
बीजोज ककक,seed borne fungus
बीज प्रमाणिकरण,seed certification
बीज दृढ़ीकरण,seed hardening
बीजोपचार,seed treatment
बीज एवं उर्वरक बुवाई यंत्र,seed-cum-fertilizer drill
अंतःस्रवण,seepage
विसंयोजन,segregation
वरणयोग्य चिह्नक,selectable marker
वरण दबाव,selection pressure
वरणात्मक शाकनाशी,selective herbicide
वरणात्मकता सूचकांक,selectivity index
स्व: निषेचन,self fertilization
आत्म-निर्भरता,self sufficiency
स्वत: विरलन क्षमता,self thinning capacity
स्वत: फलदायी,self-fruitful
स्व: असंगतता,self-incompatibility
स्वार्थी डी.एन.ए.,selfish DNA
अर्ध शुष्क,semi-arid
संवेदी आकलन,sensory evaluation
बाह्य दल,sepal
क्रमिक सरणन,sequential cropping
क्रमिक तनुता,serial dilution
रेशमकीट पालन,sericulture
सीरम विज्ञान,serology
सीरम,serum
लिंग निर्धारण,sex-determination
लिंग सहलग्नता,sex-linkage
लैंगिक प्रवर्धन,sexual propagation
परत अपरदन,sheet erosion
निखोलना,shelling
हवा के विरुद्ध रोक,shelter belt
अल्प प्रदीपकालीन पादप,short-day plant
लघु - तरंगदैर्ध्य विकिरण,short-wave radiation
बहुपोषी संवाहक,shuttle vector
शटल संवाहक,shuttle vector
सहोदर,sibling
दात्र कोशिका अरक्तता,sickle cell anemia
सिगमायड वक्र,sigmoid curve
संकेत परिकल्पना,signal hypothesis
सार्थकता परीक्षण,significance test
साइलेंज (चारा),silage
भंडारण पात्र,silo
माद,silt
तलछट,silt
तलछटी दोमट,silt loam
वनवर्धन,silviculture
गर्त,sink
होद,sink
सिंक,sink
विलय क्षमता,sink capacity
सहअर्धसूत्र,sister chromatid
स्थान-विशिष्ट पोषक तत्व प्रबंधन,site-specific nutrient management
वैकम्प्य वितरण,skewed distribution
पंक्ति अंतराल रोपण,skip row planting
अवपंक फफूंदी,slime mould
मंद निर्भर उर्वरक,slow-release fertilizer
आपंक,sludge
कर्दम,slurry
शामक फसलें,smother crops
सामाजिक वानिकी,social forestry
सतृणभूमि कृषि,sod culture
सॉड घास,sod
सॉड मृदा,sodic soil
सोडियम अवशोषण अनुपात,sodium absorption ratio
सोडियम पंप,sodium pump
मृदुकाष्ठ कलमबंदी,soft-wood grafting
मृदा आसंजन,soil adhesion
मृदा वातन,soil aeration
मृदा पुंज,soil aggregate
मृदा क्षारियता,soil alkalinity
भूमि शोधन,soil amendment
मृदा विश्लेषण,soil analysis
मृदा जैव विविधता,soil biodiversity
मृदा जीविकी,soil biology
मृदा वर्गीकरण,soil classification
मृदा कोलाइड,soil colloid
मृदा संहतिकरण,soil compaction
मृदा अनुकूलक,soil conditioners
मृदा संरक्षण,soil conservation
मृदा पपड़ी,soil crust
मृदा निम्नीकरण,soil degradation
मृदा अपरदनीयता कारक,soil erodibility factor
मृदा उर्वरता,soil fertility
मृदा उत्पत्ति,soil genesis
मृदा स्वास्थ्य,soil health
मृदा संस्तर,soil horizon
मृदा वृहत्जीव,soil macroorganisms
मृदा प्रबंधन,soil management
मृदा सूक्ष्म जीविकी,soil microbiology
मृदा सूक्ष्मजीव,soil microorganisms
मृदा नमी अल्पता,soil moisture deficit
मृदा कार्बनिक पदार्थ,soil organic matter
मृदा संरचना,soil structure
मृदा उत्पादकता,soil productivity
मृदा परिछेदिका,soil profile
मृदा गुणवत्ता,soil quality
मृदा अभिक्रिया,soil reaction
मृदा प्रतिरोध,soil resistance
मृदा लवणता,soil salinity
मृदा रुग्णता,soil sickness
मृदा छानना,soil sieving
मृदा विलयन,soil solution
मृदा निर्जीवकारक,soil sterilent
मृदा निलंबन,soil suspension
मृदा परीक्षण,soil testing
मृदा गठन,soil texture
मृदा-जल विभव,soil water potential
मृदाजल,soil water
सौर स्थिरांक,solar constant
सौर विकिरण,solar radiation
सौर वर्णक्रम,solar spectrum
"सौर्यन, सूर्यीकरण",solarization
एकल फसल,sole crop
घुलनशील सोडियम प्रतिशत,soluble sodium percentage
कायिक कोशिका,somatic cell
कायिक भ्रूण,somatic embryo
कायिक संकरण,somatic hybridization
ज्वार क्षति,sorghum injury
क्षतिपूरक जीन,sos gene
सदर्न शोषण,southern blotting
दूरी (पादप),spacing (plant)
स्पेडिक्स,spadix
स्पेथ,spathe
विशेष विन्यास,special arrangement
विशिष्ट सरयन,specialised cropping
विशिष्ट कृषि,specialized farming
जाति,species
विशिष्ट फसल सघनता सूचकांक,specific crop intensity index
विशिष्ट गुरुत्व,specific gravity
आपेक्षिक गुरुत्व,specific gravity
विशिष्ट पर्ण क्षेत्र,specific leaf area
शुक्राणुजनन,spermatogenesis
एस. प्रावस्था,s-phase
कणिश,spike
कणिशिका,spikelet
तर्कु झाड़ी,spindle bush
बौछारी अपरदन,splash erosion
समबंधन,splicing
विभाजित प्रयोग,split application
विभाजित जीन,split genes
विभक्त प्लॉट डिजाइन,split plot design
स्पंजी ऊतक,spongy tissue
स्वत: उत्परिवर्तन,spontaneous mutation
बीजाणु,spore
फोहारी सिंचाई,sprinkler irrigation
स्पडन,spudding
दलपुट,spur
दलपुटधारी,spur bearing
अल्पकालिक झंझावात,squall
अंधड़,squall
स्थायीकारक कर्मक,stabilizing agent
मानक विचलन,standard deviation
भोज्य फसल,staple crop
प्रारंभि प्रकोट,start codon
आरंभि विलयन,starter solution
तना बेधक,stem borer
स्तंभ अंत,stem-end
अवर्धबीजता,stenospermocarpy
स्टेपी (घास के मैदान),steppe
निर्जीविकरण,sterilization
बंध्यीकरण,sterilization
वर्तिकाग्र सुग्राहिता,stigma receptivity
वर्तिकाग्र,stigma
स्वासच्छिद्र,stigma
अवस्तंभ मूल,stilt root
भूसारी,stolon
रंध्र,stomata
स्टूलिंग,stooling
रोध प्रकूट,stop codon
स्तरित,stratified
स्तरण,stratification
प्रतिबल,stress
पट्टीदार सरयन,strip cropping
पट्टी अंतरासरयन,strip intercropping
पीठिका,stroma
ठूंठ,stubble
ठूंठ पलवार,stubble mulching
वर्तिका,style
उप आर्द्र,sub humid
सुबरीकरण,suberication
कार्कीकरण,suberication
जीविकोपार्जनी सरयन,subsistence farming
निर्वाही कृषि,subsistence farming
अवमृदा,subsoiling
अवभूमि की गहरी जुताई,subsoiling
उपजाति,sub-species
प्रतिस्थापन सरयन,substitution cropping
क्रियाधार,substrate
अवस्तर,substrate
उपसतही सिंचन,subsurface irrigation
अनुक्रमण,succession
गूदेदार,succulent
अंतः भूस्तारी,sucker
स्वत:वर्गीय,sui-generis
सौर उपचार,sun-curing
पूरक सिंचन,supplemental irrigation
पूरक सिंचाई,supplemental irrigation
पूरक उद्यम,supplementary enterprise
अनुपूरक अन्योन्य क्रिया,supplementary interaction
निरोधक जीन,supressor gene
पृष्ठ सक्रियक,surfactant
सुग्राही,susceptible
ग्रहणशील,susceptible
निलंबन संवर्ध,suspension culture
संवहनीय कृषि,sustainable agriculture
टिकाऊ खेती,sustainable agriculture
संवहनीय विकास,sustainable development
वृंदन,swarming
तलवारी पत्ती,sword leaf
साइकोनियम,syconium
सहजीविता,symbiosis
सहजीवन,symbiosis
युग्मक संलयन,syngamy
धान संहनन पद्धति,system of rice intensification
सर्वीय (स्थानांतरित) शाकनाशी,systemic herbicide
अनुचलन गति,tactic movement
टैगन (लेबलन),tagging (labelling)
टैंक तलछट,tank silt
मूसला जड़,tap root
"बल्लर, नर मंजरी (मक्का)",tassel (maize)
"वर्गिकी, वर्गीकरण विज्ञान",taxonomy
प्रौद्योगिकी,technology
शीतोष्ण क्षेत्र,temperate zone
अस्थायी म्लानि,temporary wilting
प्रतान,tendril
"तनावमापी, टेंसियोमीटर",tensiometer
परिदल,tepal
विकृतजनन,teratogeny
समापन प्रकोट,termination codon
वेदीका,terrace
वेदीका अंतराल,terrace interval
भूमिक विकिरण,terrestrial radiation
भौमिक खरपतवार,terrestrial weeds
परीक्षार्थ संकरण,test cross
परीक्षण भार,test weight
बीजावरण,testa
टेस्टा,testa
चतुष्क,tetrad
चतुर्मुणित,tetraploid
चतुर्मुणिता,tetraploidy
पुष्पासन,thalamus
ताप संचालकता,thermal conductivity
तापीय विसरण,thermal diffusivity
तापीय प्रेरण,thermal induction
तापयुग्म,thermocouple
तापसंयुग्म,thermocouple
तापलेखी,thermograph
तापीय आवर्तिता,thermoperiodicity
तापीय आवर्तन,thermoperiodism
तापरागी,thermophile
ताप अनुचालन,thermotaxis
विरलन,thinning out
मड़ाई,threshing
गहाई,threshing
अर्बुद प्रेरक प्लाज्मिड,Ti plasmid
ज्वारीय दलदली भूमि,tidal swamps
ज्वारीय दलदल,tidal swamps
खपरैल जल निकास,tile drainage
जुताई योग्यता,tillability
"जुताई, कर्पण",tillage
कल्ला (पादप),tiller (plant)
"कल्ले निकलना, तल्लाशाखन",tillering
कल्ले फूटने की अवस्था,tillering stage
भुरभुरी भूमि,tilth
उतक परीक्षण,tissue testing
ताड़ी,toddy
सह्यता,tolerance
"ऊपरी मृदा, सतही मृदा",top soil
तमाकू,topato
खड़ी फसल में खाद डालना,top-dressing
स्थल मौसमविज्ञान,topoclimatology
शीर्षमूलन,topping (tobacco)
सकल पचनशील पोषक तत्व,total digestible nutrient
सकल कारक उत्पादकता,total factor productivity
कुल घुलनशील ठोस,total soluble solids
पूर्णशक्तता,totipotency
आविषाक्तता,toxicity
आविष,toxin
"लेशातत्व, सूक्ष्म मात्रिकत्व",trace elements
"अनुजापक तत्व, अनुरेखक तत्व",tracer elements
पार क्रियाशील,transacting
अनुलेखन,transcription
रूपांतरण,transformation
पराजनी,transgenic
अनुवाद,translation
स्थानांतरण,translocation
पारगमनता,transmittance
वाष्पोत्सर्जन गुणांक,transpiration coefficient
वाष्पोत्सर्जन खिंचाव,transpiration pull
वाष्पोत्सर्जन अनुपात,transpiration ratio
रोपण धक्का,transplant shock
रोपाई यंत्र,transplanter
रोपण,transplanting
रोपाई,transplanting
स्थानांतरित मृदा,transported soil
ट्रांसपोसोन,transposon
अनुप्रस्थ जलनिकास,transverse drainage
पाश फसलें,trap crops
फाँसू फसलें,trap crops
पत्ती उतारना (जैसे गन्ने में),trashing
उपचार,treatment
वृक्ष सस्यन,tree cropping
वृक्षवलय,tree ring
परीख,trial
अल्पमात्रा सिंचाई,trickle irrigation
विमोचक कारक,trigger factor
त्रिगुणित,triploid
त्रिविध सरयन,tripple cropping
तिहरा सरयन,tripple cropping
पोषी स्तर,trophic level
अनुवर्ती गति,tropic movements
उष्ण कटिबंधीय क्षेत्र,tropical region
अनुवर्तन,tropism
वास्तविक घनत्व,true density
वास्तविक पचनीयता,true digestibility
रूंद परिक्छेदिका,truncated profile
रूंद भूमि,truncated soil
सुनामी,tsunami
कंदीय फसलें,tuber crops
कंद,tuber
अर्बुद,tumour
भूमि रूंदन,tuncation of soil
टुंड्रा,tundra
दर्शस्थल,turf
टर्फ,turf
पीट,turf
स्पीत,turgid
स्पीत गति,turgor movement
स्पीत दाब,turgor pressure
स्पीति,turgor
टर्नर का संलक्षण,Turner's syndrome
प्रकार,type (plant)
पादप प्रकार,type (plant)
प्रथम प्रकार की त्रुटि,type I error
द्वितीय प्रकार की त्रुटि,type II error
टाइफून,typhoon
दुतअपकेंद्रण,ultracentrifugation
पराध्वनि,ultrasound
पुष्पछत्र,umbel
अफलत,unfruitfulness
अफलन,unfruitfulness
एकसंयोजी,univalent
सार्वभौम आनुवंशिक कोड,universal genetic code
सार्वभौम मृदा ह्रास समीकरण,universal soil loss equation
असंतृप्त वसीय अम्ल,unsaturated fatty acids
उच्चभूमि धान,upland rice
उपरीभूमि,upland
उच्चभूमि,upland
शहरी कंपोस्ट,urban compost
यूरिया,urea
यूरीयज,urease
वैक्सीन,vaccine
टीका,vaccine
धानी,vacuole
रसधानी,vacuole
मूल्यवर्धित कृषि,value-added agriculture
मूल्यवर्धित उत्पाद,value added product
मूल्यवर्धन,value addition
मूल्य लागत अनुपात,value cost ratio
वैम,VAM (vesicular arbuscular)
वाष तापोपचार,vapour heat treatment
वाष दाब,vapour pressure
परिवर्ती लागत,variable cost
परिवर्ती जीन,variable gene
परिवर्ती दर प्रौद्योगिकी,variable rate technology
प्रसारण भिन्नता,variance
विभिन्नता,variation
किस्म,variety
रोग वाहक,vector
वनस्पति,vegetation
वानस्पतिक निम्नीकरण,vegetation degradation
वानस्पतिक रोध,vegetative barrier
वानस्पतिक आच्छादन,vegetative cover
कायिक प्रवर्धन,vegetative propagation
वानस्पतिक प्रावस्था,vegetative stage
शिराविन्यास,venation
"कृमि-क्षिति, केंचुए का मल",vermicastings
वर्मी कंपोस्ट,vermicompost
वसंतिकरण,vernalization
ऊर्ध्व पलवार,vertical mulching
वर्टिसॉल,vertisol
जीवनक्षमता (बीज),viability (seed)
"लता, प्रशाखालता",vine
सिरका,vinegar
"उज जीन, विर जीन",vir gene
"अकृत्रिम भूमि, अस्वत भूमि",virgin land
"अकृत्रिम मृदा, अस्वत मृदा",virgin soil
उग्रता,virulence
विषाणु,virus
विषाणु आवरण प्रोटीन,virus coat protein
विषाणु सूचीककरण,virus indexing
श्यानता,viscosity
दृश्य विकिरण,visible radiation
विटामिन,vitamins
अंगूर उत्पादन,viticulture
सजीव प्रजक,viviparous
जरायुज,viviparous
रिक्त स्थान,void space
वाष्पीकरण,volatilization
नैसर्गिक पौधे,volunteer plants
मजदूरी,wage
नियत तापीय प्राणी,warm blooded animal
अपशिष्ट प्रबंधन,waste management
व्यर्थ भूमि,wastelands
अकृष्य भूमि,wastelands
जल प्रयोग दक्षता,water application efficiency
जल प्रयोग दर,water application rate
जल संतुलन,water balance
जल संपीकरण,water compaction
जल संरक्षण,water conservation
जल की खपत,water consumption
जल उपभोग,water consumption
जल संवहन दक्षता,water conveyance efficiency
जल कृषि,water culture
जल न्यूनता,water deficit
जल वितरण दक्षता,water distribution efficiency
जलकर,water duty
जल कूड़,water furrow
जल द्वार,water gates
जलाक्रांति,water logging
जल प्रबंधन,water management
फसलों की जल मांग,water requirement of crops
जलसंतृप्तता न्यूनता,water saturation deficit
भूजल स्तर,water table
जल उपयोग दक्षता,water use efficiency
जल प्राप्ति,water yield
जल संचयन,water-harvesting
जलसंभर,watershed
जलसंभर प्रबंधन,watershed management
जलसंभर उपचार,watershed treatment
जलसंभर प्रणाली,watershed-based system
जलमार्ग,waterway
तरंग लंबाई,wave-length
मोमिकीकरण,waxing
मौसम,weather
ऋतु,weather
अपक्षयण,weathering
खरपतवार,weed
खरपतवार नियंत्रण,weed control
खरपतवार नियंत्रण दक्षता,weed control efficiency
खरपतवार निर्मूलन,weed eradication
खरपतवार सूचकांक,weed index
वेस्टर्न शोषण,Western blotting
खरपतवार स्पेक्ट्रम,weed spectrum
आई-बल गिरावट,wet-bulb depression
आई-बल तापमान,wet-bulb temperature
आई-बल तापमापी,wet-bulb thermometer
आई भूमि,wetland
नम रोपण,wet planting
नम मौसम,wet season
गीली बुवाई,wet seeding
आई वर्ष,wet year
क्लेदनीय चूर्ण,wettable powder
क्लेदक,wetting agent
क्लेदन कारक,wetting agent
घूर्णी आईतापमापी,whirling psychrometer
श्वेत क्रांति,white revolution
समग्र फार्म विश्लेषण,whole farm analysis
समग्र फार्म दृष्टिकोण,whole farm approach
व्यापक अनुकूलनशीलता,wider adaptibility
स्लानि बिंदु,wilting point
वातरोध,wind break
वात ऊर्जा,wind energy
वायु अपरदन,wind erosion
वायु उत्पन्न करना,wind generation
पवन चक्की,wind mill
वायु शक्ति,wind power
वायु गति,wind speed
वायु पट्टिका सरसण,wind strip cropping
वायु वेग,wind velocity
वायु,wind
विंड्रो,windrow
विंड्रोअर,windrower
वायु दिक्दर्शी,wind-vane
ओसाईयंत्र,winnower
ओसाई,winnowing
वॉबल परिकल्पना,Wobble hypothesis
गर्भाशय,womb
काठ राख,wood ash
काठ गैस,wood gas
कार्य,work
जैंथिनमहे,xanthinuria
पीतवर्णक,xanthophyll
'एक्स' गुणसूत्र,x-chromosome
अपर पराग प्रभाव,xenia
जीरोडर्मा पिगमेंटोसम,xeroderma pigmentosum
मरुपादप,xerophyte
मरुपादपता,xerophytism
एक्स-किरण विवर्तन,x-ray diffraction
एक्स-रे विवर्तन,x-ray diffraction
जाइलम,xylem
दारु,xylem
जाइलोफाइट,xylophyte
काष्ठीय पादप,xylophyte
'वाई' जाल,'Y' trellis
वाई-गुणसूत्र,y-chromosome
खमीर,yeast
यीस्ट,yeast
यीस्ट निष्कर्ष,yeast extract
पीत क्रांति,yellow revolution
पीला पड़ना,yellowing
उपज घटक,yield component
उपज अनुवीक्षण,yield monitoring
उपज क्षमता,yield potential
उपज स्थायित्व,yield stability
पीतक,yolk
जायद,zaid
जेड-गुणसूत्र,z-chromosome
जेड-डी.एन.ए.,z-DNA
जीपिटिन,zeatin
शून्य ऊर्जा शीतकक्ष,zero energy cool chamber
शून्य कर्षण,zero tillage
शून्य सहनशीलता,zero tolerance
जिंक अल्पता,zinc deficiency
जिंक फिंगर प्रोटीन,zinc finger protein
जिंकयुक्त यूरिया,zincated urea
पारदर्शी अंडावरण,zona pellucida
प्राणी परागण,zoophily
प्राणी प्लवक,zooplankton
युग्मज,zygote
युग्मज घातक जीन,zygotic lethal gene
बादाम,almond
धीकुवारा,aloe
चोलाई,amaranthus
रामदाना,amaranthus
अजवाइन,ammi
अंजन घास,anjan grass
धामन घास,anjan grass
एंथूरियम,anthurium
आंवला,"aonla, Indian gooseberry"
सेब,apple
खुबानी,apricot
मोगरा,arbian jasmine
बेला,arbian jasmine
सुपारी,areca nut
अर्जुन,arjun
हींग,asfoetida
पेठा,ash gourd
अशोक,ashoka tree
दूधी,ashtma weed (euphorbia)
सतावर,asparagus
अवोकाडो,avocado
बबूल,babul acacia
कीकर,babul acacia
बेबी कॉर्न,baby corn
बेल,bael
लाजालु,baill
गुलमेंहदी,balsam
बांस,bamboo
केला,banana
वरगद,banyan tree
जौ,barley
सावां,barnyard millet
तुलसी,basil
रुद्राक्ष,bastard cedar
बहेड़ा,bastard myrobalan
कचनार,bauhinia
कैफल,bay berry
सेम,bean
चुकंदर,beet
बेलाडोना,belladonna
बेर,ber
बरसीम,berseem
पान,betel
बिलिंबी,bilimbi
करेला,bitter gourd
उड़द,black gram
मकोय,black nightshade
बोगनविलिया,bougainvillea
बोटल ब्रश,bottle brush
लौकी,chow-chow
चीकली,box tree
पापरी,box tree
ब्रेड फ्रूट,bread fruit
डेला,bridal creeper
बैंगन,brinjal
वाकला,broad bean
चौड़ी बीन,broad bean
ब्रोकोली,broccoli
ब्रुसेल स्प्राउट,brussel's sprout
कुटू,buckwheat
पलाश लता,butea
किंशुक,butea
बंदगोभी,cabbage
नागफनी,cactus
जरगुल,calendula
गिल्ली डंडा,canary grass (phalaris)
गेहूं का मामा,canary grass (phalaris)
कैना,canna
करीर,capparis
शिमला मिर्च,capsicum
कमरख,carambola
पुसुर,carapa
इलाइची,cardamom
कार्नेशन,carnation
गाजर,carrot
काजू,cashew nut
अमलतास,cassia
अरंडी,castor
फूलगोभी,cauliflower
सेलेरी,celery
चम्पा,champac
बथुआ,chenopodium
चेरी टमाटर,cherry tomato
चेरी,cherry
चना,"chickpea, gram"
मिर्च,chillies
काकड़ा,china turpentine tree
गुलदाउदी,chrysanthemum
चिचोड़ा,"chufa, earth almond"
चिकोरी,cichory
कारनी,cichory
दालचीनी,cinnamon
सिट्रोन,citron
गंजनी,citronella grass
मालती,climbing jasmine
लौंग,clove
ग्वार बीन,cluster bean
केहवा,cocoa
नारियल,coconut
कॉफी,coffee
पथरचूर,coleus
अरबी,colocasia
इंद्रायण,"colocynth, bitter apple"
जंगली पालक,common purslane
धनिया,coriander
कपास,cotton
लोबिया,cowpea
कबाब-चीनी,cubeb
खीरा,cucumber
कदूद्वर्गीय,cucurbits
जीरा,cumin
कड़ी पत्ती,curry leaf
शरीफा,custard apple
गुलबहार,daisy
खजूर,dates
दिन का राजा,day jasmine
सोया,dill
दीनानाथ घास,dinanath grass
अमरबेल,dodder
दूब घास,"doob grass, bermuda grass"
छोंकर,druce
सौंठ,dry ginger
चिलगोज़ा,edible pine
जिमीकंद,"elephant foot, yam"
सफेदा,eucalyptus
सौंफ,"fennel, anise"
मेथी,fenugreek
अंजीर,fig
कांगनी,finger millet
दावी,fire-flame bush
पलाश,flame of forest
फ्रेंच बीन,french bean
माजूफल,gall nut
लहसुन,garlic
जरबेरा,gerbera
घरकिन,gherkin
अदरक,ginger
ग्लोडियोलस,gladiolus
महकुवा,goat weed (ageratum)
ग्रेप फ्रूट,grapefruit
अंगूर,grapes
मूंग,green gram
भीमल,grewia
मूंगफली,groundnut
अमरूद,guava
गिनी घास,guinea grass
हेजल नट,hazel nut
भांग,hemp
खुरासानी अजवाइन,henbane
मेंहदी,henna
गुड़हल,hibiscus
हॉप,hop
कुल्थी,horse gram
